,,"Nuit - 21h+
Jour - 9h+
",,"0 - Leur team stomp
5 - Lanes serrées
10 - Ma team stomp","0 - Team ultra toxique
5 - Passif Agressif
10 - Team très gentille","0 - Je n'existe pas
5 - Relativement possible
10 - Ne depend que de nous","0 - J'ai été à chier
5 - Game moyenne
10 - J'ai été pixel",,"
"
,,Timing,Game,Ecart Niveau,Bienséance,Impact possible,Performance perso,Résultat,Commentaires
,,JOUR,1,8,10,8,9,Win,
,,JOUR,2,6,8,7,7,Win,
,,JOUR,3,7,4,5,5,Win,
,,JOUR,4,8,10,3,4,Win,
,,NUIT,5,1,7,2,7,Lose,
,,NUIT,6,3,3,0,0,Win,
,,NUIT,7,2,5,0,5,Lose,
,,NUIT,8,5,4,5,7,Win,
,,NUIT,9,1,2,0,6,Lose,
,,NUIT,10,1,2,0,8,Lose,
,,NUIT,11,7,4,1,1,Win,
,,NUIT,12,6,2,5,7,Win,
,,JOUR,13,2,5,0,8,Lose,
,,JOUR,14,8,10,2,8,Win,
,,JOUR,15,9,6,2,3,Win,
,,JOUR,16,1,5,1,6,Lose,
,,JOUR,17,1,2,0,5,Lose,
,,JOUR,18,0,0,0,6,Lose,
,,JOUR,19,7,10,7,8,Win,
,,JOUR,20,2,2,2,5,Lose,
,,NUIT,21,1,1,2,9,Win,
,,NUIT,22,0,8,0,9,Lose,
,,NUIT,23,6,10,6,9,Win,
,,NUIT,24,9,9,2,5,Win,
,,NUIT,25,8,9,8,10,Win,
,,NUIT,26,4,7,9,9,Win,
,,NUIT,27,0,0,0,7,Lose,